"Crimes Against Person By City or County"
"Current date: 6/24/2023 10:47:56 AM (Eastern Daylight Time)"
"Data source: Virginia_SS, Offense Data"
"Incident Date: 2021"
"Jurisdiction by Geography","Offense Type","Number of Crimes",
"Division 1 - Education","Incest",""
"Division 1 - Education","Statutory Rape",""
"Division 1 - Education","Aggravated Assault","16"
"Division 1 - Education","Simple Assault","257"
"Division 1 - Education","Intimidation","59"
"Division 1 - Education","Human Trafficking, Commercial Sex Acts",""
"Division 1 - Education","Human Trafficking, Involuntary Servitude",""
"Division 1 - Other","Crimes Against Person","35"
"Division 1 - Other","Murder and Nonnegligent Manslaughter",""
"Division 1 - Other","Negligent Manslaughter",""
"Division 1 - Other","Justifiable Homicide",""
"Division 1 - Other","Kidnapping/Abduction","1"
"Division 1 - Other","Forcible Rape",""
"Division 1 - Other","Forcible Sodomy",""
"Division 1 - Other","Sexual Assault With An Object",""
"Division 1 - Other","Forcible Fondling",""
"Division 1 - Other","Incest",""
"Division 1 - Other","Statutory Rape",""
"Division 1 - Other","Aggravated Assault","1"
"Division 1 - Other","Simple Assault","8"
"Division 1 - Other","Intimidation","25"
"Division 1 - Other","Human Trafficking, Commercial Sex Acts",""
"Division 1 - Other","Human Trafficking, Involuntary Servitude",""
"Clarke County","Crimes Against Person","104"
"Clarke County","Murder and Nonnegligent Manslaughter",""
"Clarke County","Negligent Manslaughter",""
"Clarke County","Justifiable Homicide",""
"Clarke County","Kidnapping/Abduction",""
"Clarke County","Forcible Rape","2"
"Clarke County","Forcible Sodomy",""
"Clarke County","Sexual Assault With An Object","1"
"Clarke County","Forcible Fondling","2"
"Clarke County","Incest",""
"Clarke County","Statutory Rape",""
"Clarke County","Aggravated Assault","2"
"Clarke County","Simple Assault","84"
"Clarke County","Intimidation","12"
"Clarke County","Human Trafficking, Commercial Sex Acts","1"
"Clarke County","Human Trafficking, Involuntary Servitude",""
"Culpeper County","Crimes Against Person","551"
"Culpeper County","Murder and Nonnegligent Manslaughter",""
"Culpeper County","Negligent Manslaughter",""
"Culpeper County","Justifiable Homicide",""
